"id","timestamp","type","message"
"1","2017-08-01T22:20:14.000Z","QueryData","select * from experiments"
"2","2017-08-01T22:20:14.000Z","QueryData","select id, name from tasks"
"3","2017-08-01T22:20:14.000Z","ResponseReceived","Received the experiments list"
"4","2017-08-01T22:20:14.000Z","ResponseReceived","Received the tasks names"
"5","2017-08-01T22:20:14.000Z","QueryData","select tasks.id, datasets.name as dataset_name, algorithms.name as algorithm_name, tasks.name, tasks.description, tasks.type from tasks join algorithms on tasks.algorithm_id = algorithms.id join datasets on tasks.dataset_id = datasets.id"
"6","2017-08-01T22:20:14.000Z","ResponseReceived","Received the tasks list"
"7","2017-08-01T22:20:14.000Z","QueryData","select type from task_types"
"8","2017-08-01T22:20:14.000Z","ResponseReceived","Received the supprted tasks types"
"9","2017-08-01T22:20:14.000Z","QueryData","select id, name from datasets"
"10","2017-08-01T22:20:14.000Z","ResponseReceived","Received the datasets names"
"11","2017-08-01T22:20:14.000Z","QueryData","select id, name from algorithms"
"12","2017-08-01T22:20:14.000Z","ResponseReceived","Received the algorithms names"
"13","2017-08-01T22:20:14.000Z","QueryData","select id,name from models"
"14","2017-08-01T22:20:14.000Z","ResponseReceived","Received the models names"
"15","2017-08-01T22:20:15.000Z","QueryData","select * from datasets"
"16","2017-08-01T22:20:15.000Z","QueryData","select format from formats"
"17","2017-08-01T22:20:15.000Z","QueryData","select type from task_types"
"18","2017-08-01T22:20:15.000Z","QueryData","select id,name from models"
"19","2017-08-01T22:20:15.000Z","QueryData","select id, name from algorithms"
"20","2017-08-01T22:20:15.000Z","ResponseReceived","Received the datasets list"
"21","2017-08-01T22:20:15.000Z","ResponseReceived","Received the supported formats list"
"22","2017-08-01T22:20:15.000Z","ResponseReceived","Received the supprted tasks types"
"23","2017-08-01T22:20:15.000Z","ResponseReceived","Received the algorithms names"
"24","2017-08-01T22:20:15.000Z","ResponseReceived","Received the models names"
"25","2017-08-01T22:20:16.000Z","QueryData","select * from algorithms"
"26","2017-08-01T22:20:16.000Z","QueryData","select language from algorithm_languages"
"27","2017-08-01T22:20:16.000Z","ResponseReceived","Received the algorithms list"
"28","2017-08-01T22:20:16.000Z","QueryData","select id, name from datasets"
"29","2017-08-01T22:20:16.000Z","ResponseReceived","Received the supported languages"
"30","2017-08-01T22:20:16.000Z","ResponseReceived","Received the datasets names"
"31","2017-08-01T22:20:18.000Z","QueryData","select * from datasets"
"32","2017-08-01T22:20:18.000Z","ResponseReceived","Received the datasets list"
"33","2017-08-01T22:20:18.000Z","QueryData","select format from formats"
"34","2017-08-01T22:20:18.000Z","ResponseReceived","Received the supported formats list"
"35","2017-08-01T22:20:18.000Z","QueryData","select type from task_types"
"36","2017-08-01T22:20:18.000Z","ResponseReceived","Received the supprted tasks types"
"37","2017-08-01T22:20:18.000Z","QueryData","select id, name from algorithms"
"38","2017-08-01T22:20:18.000Z","ResponseReceived","Received the algorithms names"
"39","2017-08-01T22:20:18.000Z","QueryData","select id,name from models"
"40","2017-08-01T22:20:18.000Z","ResponseReceived","Received the models names"
"41","2017-08-01T22:30:35.000Z","QueryData","select * from datasets"
"42","2017-08-01T22:30:35.000Z","ResponseReceived","Received the datasets list"
"43","2017-08-01T22:30:35.000Z","QueryData","select format from formats"
"44","2017-08-01T22:30:35.000Z","QueryData","select type from task_types"
"45","2017-08-01T22:30:35.000Z","QueryData","select id,name from models"
"46","2017-08-01T22:30:35.000Z","QueryData","select id, name from algorithms"
"47","2017-08-01T22:30:35.000Z","ResponseReceived","Received the supported formats list"
"48","2017-08-01T22:30:35.000Z","ResponseReceived","Received the supprted tasks types"
"49","2017-08-01T22:30:35.000Z","ResponseReceived","Received the algorithms names"
"50","2017-08-01T22:30:35.000Z","ResponseReceived","Received the models names"
"51","2017-08-01T22:30:40.000Z","QueryData","select * from experiments"
"52","2017-08-01T22:30:40.000Z","QueryData","select id, name from tasks"
"53","2017-08-01T22:30:40.000Z","ResponseReceived","Received the experiments list"
"54","2017-08-01T22:30:40.000Z","ResponseReceived","Received the tasks names"
"55","2017-08-01T22:30:41.000Z","QueryData","select tasks.id, datasets.name as dataset_name, algorithms.name as algorithm_name, tasks.name, tasks.description, tasks.type from tasks join algorithms on tasks.algorithm_id = algorithms.id join datasets on tasks.dataset_id = datasets.id"
"56","2017-08-01T22:30:41.000Z","ResponseReceived","Received the tasks list"
"57","2017-08-01T22:30:41.000Z","QueryData","select type from task_types"
"58","2017-08-01T22:30:41.000Z","ResponseReceived","Received the supprted tasks types"
"59","2017-08-01T22:30:41.000Z","QueryData","select id, name from datasets"
"60","2017-08-01T22:30:41.000Z","ResponseReceived","Received the datasets names"
"61","2017-08-01T22:30:41.000Z","QueryData","select id, name from algorithms"
"62","2017-08-01T22:30:41.000Z","QueryData","select id,name from models"
"63","2017-08-01T22:30:41.000Z","ResponseReceived","Received the algorithms names"
"64","2017-08-01T22:30:41.000Z","ResponseReceived","Received the models names"
"65","2017-08-01T22:30:56.000Z","QueryData","select language from algorithm_languages"
"66","2017-08-01T22:30:56.000Z","QueryData","select * from algorithms"
"67","2017-08-01T22:30:56.000Z","QueryData","select id, name from datasets"
"68","2017-08-01T22:30:56.000Z","ResponseReceived","Received the supported languages"
"69","2017-08-01T22:30:56.000Z","ResponseReceived","Received the algorithms list"
"70","2017-08-01T22:30:56.000Z","ResponseReceived","Received the datasets names"
"71","2017-08-01T22:31:03.000Z","QueryData","select * from experiments"
"72","2017-08-01T22:31:03.000Z","ResponseReceived","Received the experiments list"
"73","2017-08-01T22:31:03.000Z","QueryData","select id, name from tasks"
"74","2017-08-01T22:31:03.000Z","ResponseReceived","Received the tasks names"
"75","2017-08-01T22:31:04.000Z","QueryData","select type from task_types"
"76","2017-08-01T22:31:04.000Z","QueryData","select tasks.id, datasets.name as dataset_name, algorithms.name as algorithm_name, tasks.name, tasks.description, tasks.type from tasks join algorithms on tasks.algorithm_id = algorithms.id join datasets on tasks.dataset_id = datasets.id"
"77","2017-08-01T22:31:04.000Z","QueryData","select id, name from datasets"
"78","2017-08-01T22:31:04.000Z","QueryData","select id, name from algorithms"
"79","2017-08-01T22:31:04.000Z","QueryData","select id,name from models"
"80","2017-08-01T22:31:04.000Z","ResponseReceived","Received the tasks list"
"81","2017-08-01T22:31:04.000Z","ResponseReceived","Received the supprted tasks types"
"82","2017-08-01T22:31:04.000Z","ResponseReceived","Received the datasets names"
"83","2017-08-01T22:31:04.000Z","ResponseReceived","Received the algorithms names"
"84","2017-08-01T22:31:04.000Z","ResponseReceived","Received the models names"
"85","2017-08-01T22:31:20.000Z","QueryData","SELECT models.id as id, models.name as name, models.description as description, models.path as path, experiments.experiment_name as experiment_name FROM models join experiments on models.experiment_id = experiments.id"
"86","2017-08-01T22:31:20.000Z","QueryData","select id, name from datasets"
"87","2017-08-01T22:31:20.000Z","ResponseReceived","Received the models list"
"88","2017-08-01T22:31:20.000Z","ResponseReceived","Received the datasets names"
"89","2017-08-01T22:31:22.000Z","QueryData","select * from algorithms"
"90","2017-08-01T22:31:22.000Z","QueryData","select language from algorithm_languages"
"91","2017-08-01T22:31:22.000Z","QueryData","select id, name from datasets"
"92","2017-08-01T22:31:22.000Z","ResponseReceived","Received the supported languages"
"93","2017-08-01T22:31:22.000Z","ResponseReceived","Received the algorithms list"
"94","2017-08-01T22:31:22.000Z","ResponseReceived","Received the datasets names"
"95","2017-08-01T22:31:44.000Z","QueryData","select * from algorithms"
"96","2017-08-01T22:31:44.000Z","QueryData","select language from algorithm_languages"
"97","2017-08-01T22:31:44.000Z","QueryData","select id, name from datasets"
"98","2017-08-01T22:31:44.000Z","ResponseReceived","Received the algorithms list"
"99","2017-08-01T22:31:44.000Z","ResponseReceived","Received the supported languages"
"100","2017-08-01T22:31:44.000Z","ResponseReceived","Received the datasets names"
"101","2017-08-01T22:31:47.000Z","QueryData","select tasks.id, datasets.name as dataset_name, algorithms.name as algorithm_name, tasks.name, tasks.description, tasks.type from tasks join algorithms on tasks.algorithm_id = algorithms.id join datasets on tasks.dataset_id = datasets.id"
"102","2017-08-01T22:31:47.000Z","QueryData","select type from task_types"
"103","2017-08-01T22:31:47.000Z","QueryData","select id, name from datasets"
"104","2017-08-01T22:31:47.000Z","ResponseReceived","Received the tasks list"
"105","2017-08-01T22:31:47.000Z","ResponseReceived","Received the supprted tasks types"
"106","2017-08-01T22:31:47.000Z","QueryData","select id, name from algorithms"
"107","2017-08-01T22:31:47.000Z","ResponseReceived","Received the datasets names"
"108","2017-08-01T22:31:47.000Z","QueryData","select id,name from models"
"109","2017-08-01T22:31:47.000Z","ResponseReceived","Received the algorithms names"
"110","2017-08-01T22:31:47.000Z","ResponseReceived","Received the models names"
"111","2017-08-01T22:31:54.000Z","QueryData","insert into tasks SET ?"
"112","2017-08-01T22:31:54.000Z","ResponseReceived","A training task was created"
"113","2017-08-01T22:31:54.000Z","QueryData","select tasks.id, datasets.name as dataset_name, algorithms.name as algorithm_name, tasks.name, tasks.description, tasks.type from tasks join algorithms on tasks.algorithm_id = algorithms.id join datasets on tasks.dataset_id = datasets.id"
"114","2017-08-01T22:31:54.000Z","QueryData","select type from task_types"
"115","2017-08-01T22:31:54.000Z","QueryData","select id, name from datasets"
"116","2017-08-01T22:31:54.000Z","ResponseReceived","Received the supprted tasks types"
"117","2017-08-01T22:31:54.000Z","ResponseReceived","Received the tasks list"
"118","2017-08-01T22:31:54.000Z","QueryData","select id, name from algorithms"
"119","2017-08-01T22:31:54.000Z","QueryData","select id,name from models"
"120","2017-08-01T22:31:54.000Z","ResponseReceived","Received the datasets names"
"121","2017-08-01T22:31:54.000Z","ResponseReceived","Received the algorithms names"
"122","2017-08-01T22:31:54.000Z","ResponseReceived","Received the models names"
"123","2017-08-01T22:31:58.000Z","QueryData","select * from experiments"
"124","2017-08-01T22:31:59.000Z","QueryData","select id, name from tasks"
"125","2017-08-01T22:31:59.000Z","ResponseReceived","Received the experiments list"
"126","2017-08-01T22:31:59.000Z","ResponseReceived","Received the tasks names"
"127","2017-08-01T22:31:59.000Z","QueryData","select tasks.id, datasets.name as dataset_name, algorithms.name as algorithm_name, tasks.name, tasks.description, tasks.type from tasks join algorithms on tasks.algorithm_id = algorithms.id join datasets on tasks.dataset_id = datasets.id"
"128","2017-08-01T22:31:59.000Z","QueryData","select type from task_types"
"129","2017-08-01T22:31:59.000Z","QueryData","select id, name from datasets"
"130","2017-08-01T22:31:59.000Z","QueryData","select id, name from algorithms"
"131","2017-08-01T22:31:59.000Z","QueryData","select id,name from models"
"132","2017-08-01T22:31:59.000Z","ResponseReceived","Received the tasks list"
"133","2017-08-01T22:31:59.000Z","ResponseReceived","Received the supprted tasks types"
"134","2017-08-01T22:31:59.000Z","ResponseReceived","Received the datasets names"
"135","2017-08-01T22:31:59.000Z","ResponseReceived","Received the algorithms names"
"136","2017-08-01T22:31:59.000Z","ResponseReceived","Received the models names"
"137","2017-08-01T22:32:01.000Z","QueryData","select * from datasets"
"138","2017-08-01T22:32:01.000Z","QueryData","select format from formats"
"139","2017-08-01T22:32:01.000Z","QueryData","select type from task_types"
"140","2017-08-01T22:32:01.000Z","ResponseReceived","Received the datasets list"
"141","2017-08-01T22:32:01.000Z","QueryData","select id, name from algorithms"
"142","2017-08-01T22:32:01.000Z","ResponseReceived","Received the supported formats list"
"143","2017-08-01T22:32:01.000Z","ResponseReceived","Received the supprted tasks types"
"144","2017-08-01T22:32:01.000Z","QueryData","select id,name from models"
"145","2017-08-01T22:32:01.000Z","ResponseReceived","Received the algorithms names"
"146","2017-08-01T22:32:01.000Z","ResponseReceived","Received the models names"
"147","2017-08-01T22:32:04.000Z","QueryData","select tasks.id, datasets.name as dataset_name, algorithms.name as algorithm_name, tasks.name, tasks.description, tasks.type from tasks join algorithms on tasks.algorithm_id = algorithms.id join datasets on tasks.dataset_id = datasets.id"
"148","2017-08-01T22:32:04.000Z","QueryData","select type from task_types"
"149","2017-08-01T22:32:04.000Z","QueryData","select id, name from datasets"
"150","2017-08-01T22:32:04.000Z","QueryData","select id, name from algorithms"
"151","2017-08-01T22:32:04.000Z","QueryData","select id,name from models"
"152","2017-08-01T22:32:04.000Z","ResponseReceived","Received the tasks list"
"153","2017-08-01T22:32:04.000Z","ResponseReceived","Received the supprted tasks types"
"154","2017-08-01T22:32:04.000Z","ResponseReceived","Received the datasets names"
"155","2017-08-01T22:32:04.000Z","ResponseReceived","Received the algorithms names"
"156","2017-08-01T22:32:04.000Z","ResponseReceived","Received the models names"
"157","2017-08-01T22:32:08.000Z","QueryData","select * from experiments"
"158","2017-08-01T22:32:08.000Z","ResponseReceived","Received the experiments list"
"159","2017-08-01T22:32:08.000Z","QueryData","select id, name from tasks"
"160","2017-08-01T22:32:08.000Z","ResponseReceived","Received the tasks names"
"161","2017-08-01T22:32:10.000Z","QueryData","select * from experiments"
"162","2017-08-01T22:32:10.000Z","ResponseReceived","Received the experiments list"
"163","2017-08-01T22:32:11.000Z","QueryData","select tasks.id, datasets.name as dataset_name, algorithms.name as algorithm_name, tasks.name, tasks.description, tasks.type from tasks join algorithms on tasks.algorithm_id = algorithms.id join datasets on tasks.dataset_id = datasets.id"
"164","2017-08-01T22:32:11.000Z","ResponseReceived","Received the tasks list"
"165","2017-08-01T22:32:11.000Z","QueryData","select type from task_types"
"166","2017-08-01T22:32:11.000Z","ResponseReceived","Received the supprted tasks types"
"167","2017-08-01T22:32:11.000Z","QueryData","select id, name from datasets"
"168","2017-08-01T22:32:11.000Z","QueryData","select id,name from models"
"169","2017-08-01T22:32:11.000Z","QueryData","select id, name from algorithms"
"170","2017-08-01T22:32:11.000Z","ResponseReceived","Received the datasets names"
"171","2017-08-01T22:32:11.000Z","ResponseReceived","Received the algorithms names"
"172","2017-08-01T22:32:11.000Z","ResponseReceived","Received the models names"
"173","2017-08-01T22:40:10.000Z","QueryData","select * from experiments"
"174","2017-08-01T22:40:10.000Z","ResponseReceived","Received the experiments list"
"175","2017-08-01T22:40:10.000Z","QueryData","select id, name from tasks"
"176","2017-08-01T22:40:10.000Z","ResponseReceived","Received the tasks names"
"177","2017-08-01T22:40:12.000Z","QueryData","select * from experiments"
"178","2017-08-01T22:40:12.000Z","ResponseReceived","Received the experiments list"
"179","2017-08-01T22:40:14.000Z","QueryData","select * from experiments"
"180","2017-08-01T22:40:14.000Z","ResponseReceived","Received the experiments list"
"181","2017-08-01T22:40:16.000Z","QueryData","select * from experiments"
"182","2017-08-01T22:40:16.000Z","ResponseReceived","Received the experiments list"
"183","2017-08-01T22:40:18.000Z","QueryData","select * from experiments"
"184","2017-08-01T22:40:18.000Z","ResponseReceived","Received the experiments list"
"185","2017-08-01T22:40:20.000Z","QueryData","select * from experiments"
"186","2017-08-01T22:40:20.000Z","ResponseReceived","Received the experiments list"
"187","2017-08-01T22:40:21.000Z","QueryData","insert into experiments SET ?"
"188","2017-08-01T22:40:21.000Z","ResponseReceived","Created a new experiment"
